opis_id,name,address,city,state,latitude,longitude,price_mean,price_min,price_max,price_sample_count
7495,RACETRAC #2574,"I-75, EXIT 237, SR-331 & US-41",Forest Park,GA,33.620543,-84.358181,3.109000,3.109000,3.109000,1
7504,TEXACO,"I-75, EXIT 306 & SR-140",Adairsville,GA,34.370846,-84.921192,3.105667,3.105667,3.105667,1
7506,CHAPMANS TRUCK STOP,"I-85 & SR-219, EXIT 13",Lagrange,GA,33.026980,-85.038261,3.915667,3.915667,3.915667,1
7523,EXPRESS STOP FOOD STORE #4644,"I-75, EXIT 181",Pinconning,MI,43.857225,-83.964629,3.639000,3.639000,3.639000,1
7533,TA WILDWOOD TRAVEL CENTER,"I-75, EXIT 329 & SR-44",Wildwood,FL,28.805813,-82.007324,3.214000,3.214000,3.214000,1
7534,TA BALDWIN TRAVEL CENTER,"I-10, EXIT 343 & US-301",Jacksonville,FL,30.336864,-81.661603,3.899000,3.899000,3.899000,1
7535,GIANT #198,"I-4/SR-400, EXIT 7 & US-301/SR-41",Tampa,FL,27.966262,-82.477618,3.257333,3.257333,3.257333,1
7543,TA NEW HAVEN TRAVEL CENTER,"I-95, EXIT 56",Branford,CT,41.279949,-72.785950,5.069000,5.069000,5.069000,1
7545,CITGO,"I-95, EXIT 40",Milford,CT,41.223644,-73.064556,3.399000,3.399000,3.399000,1
7546,SHELL DBA PILOT DEALER #882,"I-95, EXIT 93 & SR-216",North Stonington,CT,41.470969,-71.872525,4.299000,4.299000,4.299000,2
7551,PWI #525,"I-70, EXIT 295",Watkins,CO,39.698399,-104.577223,3.139000,3.139000,3.139000,1
7552,TA DENVER WEST TRAVEL CENTER,"I-70, EXIT 266",Wheat Ridge,CO,39.772675,-105.104801,3.415667,3.415667,3.415667,1
7553,BRUSH TRAVEL PLAZA,"I-76, EXIT 90B & SR-71",Brush,CO,40.259263,-103.636334,3.699000,3.699000,3.699000,1
7574,108 FOOD AND FUEL,"I-40, EXIT 108 & US-66/US-281 BUS",Calumet,OK,35.601385,-98.124786,3.135667,3.135667,3.135667,1
7611,LOVES TRAVEL STOP #167,"I-44, EXIT 83",Chickasha,OK,35.040543,-97.947173,3.165667,3.165667,3.165667,1
7615,HOPI TRAVEL PLAZA CONOCO DBA ONE9 #1270,"I-40, EXIT 292",Holbrook,AZ,34.904624,-110.167210,3.179000,3.139000,3.219000,2
7617,TUCSON TRUCK TERMINAL,"I-10, EXIT 268",Tucson,AZ,32.153036,-110.870773,3.222333,3.222333,3.222333,1
7622,COPAN TRUCK STOP,US-75,Copan,OK,36.900473,-95.925291,3.119000,3.119000,3.119000,1
7624,WILLCOX TRUCK PLAZA,"I-10, EXIT 340",Willcox,AZ,32.251804,-109.835698,3.340667,3.340667,3.340667,1
7625,LOVES TRAVEL STOP #248,"I-40, EXIT 71",Clinton,OK,35.507101,-98.970503,3.172333,3.172333,3.172333,1
7627,DAVIS TRADING POST,"I-35, EXIT 55",Davis,OK,34.429427,-97.174438,2.979000,2.979000,2.979000,1
