name,state,latitude,longitude,area_sqmi,tier
BIG DELTA,AK,64.157047,-145.740874,46.9400,3
BIG LAKE,AK,61.515547,-149.975530,115.4350,3
BIG PORT WALTER HISTORICAL,AK,56.378611,-134.731111,0.0000,-1
BILL MOORES,AK,62.949722,-163.778889,0.0000,-1
BINAJOAKSMIUT HISTORICAL,AK,59.850278,-166.505833,0.0000,-1
BIORKA,AK,53.826944,-166.208056,0.0000,-1
BIRCH CREEK,AK,66.268327,-145.876583,8.0700,3
BIRCHES,AK,65.135000,-153.556667,0.0000,-1
BIRCHWOOD,AK,61.405278,-149.468889,0.0000,-1
BJERRMARK,AK,64.825000,-147.716667,0.0000,-1
BLACK,AK,62.336111,-165.335000,0.0000,-1
BLANCHARD,AK,61.205556,-149.879167,0.0000,-1
BLUFF,AK,64.572778,-163.754167,0.0000,-1
BONIBROOK,AK,61.199722,-149.774167,0.0000,-1
BORNITE,AK,67.059167,-156.942778,0.0000,-1
BOSWELL BAY,AK,60.400000,-146.133333,0.0000,-1
BREVIG MISSION,AK,65.343196,-166.508946,2.4320,3
BRISTOL BAY CENSUS SUBAREA,AK,58.741661,-156.966805,481.9520,1
BROAD PASS HISTORICAL,AK,63.233333,-149.266667,0.0000,-1
BROADMOOR,AK,64.823889,-147.875833,0.0000,-1
BROWERVILLE,AK,71.298056,-156.770000,0.0000,-1
BUCKLAND,AK,65.976489,-161.139436,0.8520,3
BUFFALO SOAPSTONE,AK,61.684439,-149.121172,22.1340,3
BURNT PAW HISTORICAL,AK,67.026111,-142.591667,0.0000,-1
BUTTE,AK,61.534033,-148.988168,33.7930,3
CALDER HISTORICAL,AK,56.173889,-133.463333,0.0000,-1
CAMPBELL,AK,61.171944,-149.894167,0.0000,-1
CANDLE,AK,65.913333,-161.924444,0.0000,-1
CANNERY,AK,57.785278,-135.096389,0.0000,-1
CANTWELL,AK,63.411396,-148.749621,119.0190,3
CANYON CITY HISTORICAL,AK,59.614167,-135.330556,0.0000,-1
CANYON VILLAGE,AK,67.154840,-142.087821,0.0000,-1
CAPALOA HISTORICAL,AK,68.645833,-166.220833,0.0000,-1
CAPE FANSHAW,AK,57.212778,-133.501944,0.0000,-1
CAPE NOME,AK,64.463889,-164.959444,0.0000,-1
CAPE POLE,AK,55.965000,-133.793333,0.0000,-1
CAPE YAKATAGA,AK,60.066389,-142.430833,0.0000,-1
CARLANNA,AK,55.358333,-131.683333,0.0000,-1
CARO,AK,67.167500,-148.019722,0.0000,-1
CARTER HISTORICAL,AK,59.283333,-161.933333,0.0000,-1
CASADEPAGA,AK,64.796667,-164.350000,0.0000,-1
CASWELL,AK,62.004686,-149.947874,0.0000,-1
CENTRAL,AK,65.509073,-144.620508,247.9210,3
CHAKAKTOLIK,AK,61.768333,-163.622222,0.0000,-1
CHAKCHAK HISTORICAL,AK,60.729444,-164.399167,0.0000,-1
CHAKWAKTOLIK,AK,61.229167,-163.754167,0.0000,-1
CHALIT HISTORICAL,AK,59.964444,-163.869167,0.0000,-1
CHALKYITSIK,AK,66.646753,-143.789298,8.5030,3
CHANDALAR,AK,67.505278,-148.493611,0.0000,-1
CHANILIUT,AK,63.041111,-163.393333,0.0000,-1
CHARIOT,AK,68.105833,-165.742778,0.0000,-1
CHARLEY VILLAGE,AK,65.283333,-142.500000,0.0000,-1
CHARLIESKIN VILLAGE,AK,62.970556,-141.820000,0.0000,-1
CHARNROKRUIT HISTORICAL,AK,70.876929,-158.690332,0.0000,-1
CHASE,AK,62.418236,-149.936172,168.7560,3
CHATANIKA,AK,65.112222,-147.477222,0.0000,-1
CHATHAM,AK,57.515278,-134.943611,0.0000,-1
CHECHING HISTORICAL,AK,60.066667,-164.216667,0.0000,-1
CHEERFUL HISTORICAL,AK,54.013889,-166.675000,0.0000,-1
CHEFORNAK,AK,60.151941,-164.252067,5.2360,3
CHEKOK HISTORICAL,AK,59.805556,-154.324167,0.0000,-1
CHELATNA LODGE,AK,62.434444,-151.404444,0.0000,-1
CHENA HISTORICAL,AK,64.800000,-147.933333,0.0000,-1
CHENA HOT SPRINGS,AK,65.053056,-146.055556,0.0000,-1
CHENA RIDGE,AK,64.794305,-148.032883,36.4530,3
CHENEGA,AK,60.091954,-147.994697,29.2850,3
CHENEGA HISTORICAL,AK,60.279823,-148.076691,0.0000,-1
CHENIK HISTORICAL,AK,59.213889,-154.138889,0.0000,-1
CHERNOFSKI,AK,53.408333,-167.550000,0.0000,-1
CHESTER,AK,61.206944,-149.920833,0.0000,-1
CHEVAK,AK,61.529560,-165.594126,1.1430,3
CHICAGO CREEK,AK,65.894444,-162.449167,0.0000,-1
CHICHINAK HISTORICAL,AK,60.159095,-164.282759,0.0000,-1
CHICKALOON,AK,61.815283,-148.291957,67.0930,3
CHICKEN,AK,64.087691,-141.828278,115.9550,3
CHIGNIK,AK,56.295180,-158.391784,10.9470,3
CHIGNIK LAGOON,AK,56.304267,-158.500259,13.2510,3
CHIGNIK LAKE,AK,56.273221,-158.793376,12.4410,3
CHILKAT,AK,59.399702,-135.896409,0.0000,-1
CHILKOOT HISTORICAL,AK,59.333056,-135.553333,0.0000,-1
CHIMEKLIAK,AK,60.100000,-162.216667,0.0000,-1
CHINIAK,AK,57.575497,-152.279033,38.7250,3
CHINIAK HISTORICAL,AK,57.616950,-152.203592,0.0000,-1
CHINILA HISTORICAL,AK,60.535052,-151.267808,0.0000,-1
CHISANA,AK,62.110041,-142.050549,79.3880,3
CHISANA HISTORICAL,AK,62.153056,-142.156944,0.0000,-1
CHISTOCHINA,AK,62.596444,-144.941045,368.4120,3
CHITINA,AK,61.553028,-144.175116,84.7020,3
CHOMLY HISTORICAL,AK,55.248056,-132.321667,0.0000,-1
CHRISTIAN,AK,67.360000,-145.196111,0.0000,-1
CHUARLITILIGAMUT HISTORICAL,AK,59.866667,-160.616667,0.0000,-1
CHUATHBALUK,AK,61.573909,-159.247015,4.4700,3
CHUGACH CENSUS SUBAREA,AK,60.488474,-146.203092,9530.1930,1
CHUGACH HEIGHTS,AK,61.218889,-149.793056,0.0000,-1
CHUGIAK,AK,61.388889,-149.481944,0.0000,-1
CHULITNA,AK,62.886944,-149.583056,0.0000,-1
CHULLOONAWICK,AK,62.946111,-164.172222,0.0000,-1
CIRCLE,AK,65.838617,-144.175331,106.0400,3
CIRCLE HOT SPRINGS,AK,65.483333,-144.634167,0.0000,-1
CIRCLE HOT SPRINGS STATION,AK,65.470278,-144.689167,0.0000,-1
CITY VIEW,AK,61.204444,-149.830556,0.0000,-1
CLAIKAHAK HISTORICAL,AK,62.164679,-159.775282,0.0000,-1
CLAM GULCH,AK,60.208887,-151.404203,13.3380,3
CLARK SOUTH POINT,AK,58.832992,-158.527347,3.3240,3
CLARKS POINT,AK,58.844167,-158.550833,0.0000,-1
CLEAR CREEK PARK,AK,64.818611,-147.565833,0.0000,-1
CLEARY HISTORICAL,AK,65.092778,-147.418056,0.0000,-1
CLOVER PASS,AK,55.472222,-131.791670,0.0000,-1
COAL CREEK,AK,65.305278,-143.153611,0.0000,-1
COBOL HISTORICAL,AK,57.489722,-135.871111,0.0000,-1
COFFMAN COVE,AK,56.001661,-132.841966,10.8960,3
COHOE,AK,60.266971,-151.298172,69.9200,3
COLD BAY,AK,55.215515,-162.775546,53.4150,3
COLDFOOT,AK,67.247451,-150.108051,35.8400,3
COLLEGE,AK,64.867290,-147.819453,18.7300,3
COLORADO,AK,63.162778,-149.435833,0.0000,-1
COOPER LANDING,AK,60.494579,-149.843945,65.7500,3
COPPER CENTER,AK,62.001096,-145.363956,12.4960,3
COPPER CITY HISTORICAL,AK,55.135556,-132.609167,0.0000,-1
COPPER RIVER CENSUS SUBAREA,AK,62.034479,-143.922167,24692.4200,1
COPPERMOUNT HISTORICAL,AK,55.216389,-132.608611,0.0000,-1
COPPERVILLE,AK,62.043889,-145.420556,0.0000,-1
CORDOVA,AK,60.530138,-145.642065,61.3460,3
COS JACKET,AK,64.863056,-151.413889,0.0000,-1
COTTONWOOD,AK,61.513333,-149.564167,0.0000,-1
COUNCIL,AK,64.895000,-163.676389,0.0000,-1
COVENANT LIFE,AK,59.397505,-136.123002,27.0530,3
CRAIG,AK,55.488746,-133.111568,6.6880,3
CROOKED CREEK,AK,61.796698,-158.081020,99.8250,3
CROWN POINT,AK,60.426679,-149.352980,3.5740,3
CRYSTAL FALLS,AK,60.485833,-145.729167,0.0000,-1
CUBE COVE,AK,57.935000,-134.711111,0.0000,-1
CURRY,AK,62.614722,-150.011944,0.0000,-1
DAHL,AK,65.364722,-164.713611,0.0000,-1
DAIRY,AK,55.306944,-131.566389,0.0000,-1
DAVIDSONS LANDING,AK,65.241944,-165.271667,0.0000,-1
DEACONS LANDING,AK,62.469167,-156.020278,0.0000,-1
DEADHORSE,AK,70.205556,-148.511667,0.0000,-1
DEBARR VISTA,AK,61.212222,-149.753056,0.0000,-1
DEERING,AK,66.069488,-162.764572,5.0160,3
